freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.905e+00,2.062e+02,7.267e+01,2.878e+02
1.6,1.156e+01,1.198e+02,5.634e+01,1.877e+02
3.2,8.818e+00,2.572e+01,1.782e+01,5.236e+01
4.8,9.205e+00,4.148e+02,1.782e+01,4.418e+02
6.4,1.368e+01,1.445e+03,1.800e+01,1.477e+03
8.0,4.076e+01,2.135e+03,2.003e+01,2.196e+03
9.6,3.834e+01,2.845e+03,1.978e+01,2.903e+03
11.1,5.795e+01,4.173e+03,2.013e+01,4.251e+03
12.7,4.849e+01,5.420e+03,2.399e+01,5.492e+03
14.3,1.414e+01,7.334e+03,3.690e+01,7.385e+03
15.9,1.083e+01,9.818e+03,4.355e+01,9.872e+03
17.5,9.872e+00,1.278e+04,7.045e+01,1.286e+04
19.1,9.825e+00,1.657e+04,1.192e+02,1.670e+04
20.7,9.670e+00,2.155e+04,2.039e+02,2.177e+04
22.3,1.006e+01,2.880e+04,3.827e+02,2.920e+04
23.9,2.215e+01,4.077e+04,8.715e+02,4.167e+04
25.5,1.153e+02,5.582e+04,1.769e+03,5.771e+04
27.1,6.888e+02,6.654e+04,2.449e+03,6.968e+04
28.7,2.097e+03,6.037e+04,2.161e+03,6.462e+04
30.3,3.400e+03,6.070e+04,1.866e+03,6.597e+04
31.8,2.963e+03,8.858e+04,2.861e+03,9.441e+04
33.4,1.490e+03,1.506e+05,5.566e+03,1.577e+05
35.0,1.123e+03,2.420e+05,1.737e+04,2.605e+05
36.6,2.851e+03,3.027e+05,4.370e+04,3.492e+05
38.2,6.461e+03,3.260e+05,8.032e+04,4.128e+05
39.8,8.402e+03,2.847e+05,1.077e+05,4.008e+05
41.4,8.467e+03,2.096e+05,1.167e+05,3.348e+05
43.0,9.766e+03,1.448e+05,1.387e+05,2.932e+05
44.6,1.095e+04,9.597e+04,1.632e+05,2.701e+05
46.2,1.160e+04,6.289e+04,1.523e+05,2.267e+05
47.8,1.263e+04,4.658e+04,1.091e+05,1.683e+05
49.4,1.425e+04,5.170e+04,6.024e+04,1.262e+05
50.9,1.389e+04,6.519e+04,3.244e+04,1.115e+05
52.5,1.042e+04,6.224e+04,2.506e+04,9.772e+04
54.1,7.838e+03,5.140e+04,3.858e+04,9.782e+04
55.7,6.197e+03,4.916e+04,6.983e+04,1.252e+05
57.3,5.136e+03,5.369e+04,1.082e+05,1.671e+05
58.9,4.251e+03,6.514e+04,1.386e+05,2.080e+05
60.5,3.379e+03,7.446e+04,1.340e+05,2.118e+05
62.1,3.488e+03,7.379e+04,1.259e+05,2.032e+05
63.7,3.506e+03,7.131e+04,1.136e+05,1.884e+05
65.3,3.453e+03,6.504e+04,8.340e+04,1.519e+05
66.9,4.170e+03,5.731e+04,5.924e+04,1.207e+05
68.5,6.486e+03,4.995e+04,4.347e+04,9.991e+04
70.1,1.075e+04,4.151e+04,3.577e+04,8.802e+04
71.6,1.581e+04,2.961e+04,3.262e+04,7.804e+04
73.2,1.720e+04,1.712e+04,2.696e+04,6.127e+04
74.8,1.391e+04,1.066e+04,1.859e+04,4.316e+04
76.4,9.381e+03,1.061e+04,1.527e+04,3.527e+04
78.0,5.370e+03,1.303e+04,1.436e+04,3.277e+04
79.6,2.869e+03,1.436e+04,1.329e+04,3.052e+04
81.2,1.719e+03,1.456e+04,1.213e+04,2.840e+04
82.8,1.188e+03,1.438e+04,1.097e+04,2.653e+04
84.4,9.793e+02,1.335e+04,1.020e+04,2.453e+04
86.0,1.428e+03,1.157e+04,9.556e+03,2.256e+04
87.6,2.220e+03,1.118e+04,8.932e+03,2.234e+04
89.2,3.319e+03,1.162e+04,8.696e+03,2.363e+04
90.8,4.343e+03,1.301e+04,8.318e+03,2.567e+04
92.3,4.632e+03,1.467e+04,7.752e+03,2.706e+04
93.9,4.167e+03,1.501e+04,6.690e+03,2.587e+04
95.5,3.626e+03,1.472e+04,5.614e+03,2.396e+04
97.1,3.082e+03,1.358e+04,4.758e+03,2.142e+04
98.7,2.509e+03,1.224e+04,4.371e+03,1.912e+04
100.3,2.752e+03,1.134e+04,4.342e+03,1.843e+04
101.9,2.521e+03,9.219e+03,3.897e+03,1.564e+04
103.5,1.823e+03,6.980e+03,3.004e+03,1.181e+04
105.1,1.031e+03,5.586e+03,1.615e+03,8.232e+03
106.7,5.758e+02,4.991e+03,7.273e+02,6.294e+03
108.3,3.652e+02,4.690e+03,7.482e+02,5.803e+03
109.9,2.510e+02,4.422e+03,1.021e+03,5.695e+03
111.5,1.916e+02,4.155e+03,1.149e+03,5.496e+03
113.0,1.495e+02,3.886e+03,1.149e+03,5.185e+03
114.6,1.328e+02,3.654e+03,1.152e+03,4.939e+03
116.2,1.175e+02,3.308e+03,1.374e+03,4.799e+03
117.8,7.760e+01,2.835e+03,1.335e+03,4.247e+03
119.4,4.196e+01,2.477e+03,1.251e+03,3.770e+03
121.0,2.710e+01,2.096e+03,1.094e+03,3.217e+03
122.6,1.993e+01,1.769e+03,9.242e+02,2.713e+03
124.2,1.893e+01,1.676e+03,9.449e+02,2.639e+03
125.8,2.264e+01,1.665e+03,9.043e+02,2.592e+03
127.4,2.634e+01,1.687e+03,8.399e+02,2.553e+03
