freq,psd_x,psd_y,psd_z,psd_xyz
162.7,2.593e+03,6.252e+03,2.779e+02,9.122e+03
164.3,2.475e+03,7.931e+03,2.356e+02,1.064e+04
165.9,2.403e+03,1.173e+04,2.167e+02,1.435e+04
167.5,2.205e+03,1.598e+04,2.092e+02,1.840e+04
169.1,2.153e+03,2.110e+04,2.027e+02,2.346e+04
170.7,2.041e+03,3.097e+04,2.279e+02,3.324e+04
172.3,1.820e+03,4.687e+04,3.032e+02,4.899e+04
173.9,1.561e+03,5.713e+04,3.719e+02,5.907e+04
175.5,1.342e+03,6.166e+04,4.139e+02,6.342e+04
177.1,1.102e+03,5.915e+04,4.859e+02,6.074e+04
178.7,1.018e+03,4.554e+04,4.639e+02,4.703e+04
180.3,1.131e+03,3.100e+04,4.087e+02,3.254e+04
181.9,1.341e+03,2.296e+04,3.974e+02,2.470e+04
183.5,1.519e+03,2.004e+04,4.151e+02,2.198e+04
185.1,1.821e+03,1.962e+04,4.486e+02,2.189e+04
186.6,2.375e+03,1.962e+04,4.505e+02,2.245e+04
188.2,2.495e+03,2.045e+04,4.998e+02,2.344e+04
189.8,2.818e+03,2.233e+04,6.902e+02,2.583e+04
191.4,3.633e+03,2.563e+04,9.931e+02,3.026e+04
193.0,4.186e+03,2.631e+04,1.246e+03,3.174e+04
194.6,4.512e+03,2.539e+04,1.359e+03,3.126e+04
196.2,5.001e+03,2.329e+04,1.292e+03,2.958e+04
197.8,4.695e+03,2.210e+04,1.143e+03,2.794e+04
199.4,4.293e+03,2.173e+04,1.049e+03,2.708e+04
