freq,psd_x,psd_y,psd_z,psd_xyz
150.1,7.496e+01,1.612e+02,2.484e+02,4.846e+02
151.7,8.055e+01,1.326e+02,2.684e+02,4.816e+02
153.3,8.267e+01,1.209e+02,2.678e+02,4.714e+02
154.9,6.092e+01,1.228e+02,2.285e+02,4.122e+02
156.5,4.576e+01,1.075e+02,1.730e+02,3.263e+02
158.1,4.366e+01,8.123e+01,1.260e+02,2.509e+02
159.7,4.220e+01,5.580e+01,9.740e+01,1.954e+02
161.3,3.503e+01,4.179e+01,7.387e+01,1.507e+02
162.9,3.308e+01,3.685e+01,5.516e+01,1.251e+02
164.5,4.238e+01,3.880e+01,7.528e+01,1.565e+02
166.1,5.201e+01,4.418e+01,1.210e+02,2.172e+02
167.7,5.761e+01,5.192e+01,1.781e+02,2.877e+02
169.3,5.947e+01,6.520e+01,2.359e+02,3.605e+02
170.9,5.605e+01,8.233e+01,2.737e+02,4.120e+02
172.5,6.074e+01,9.183e+01,3.026e+02,4.551e+02
174.1,7.091e+01,9.281e+01,3.413e+02,5.050e+02
175.7,8.002e+01,1.084e+02,4.124e+02,6.008e+02
177.3,7.453e+01,1.484e+02,4.772e+02,7.001e+02
178.9,6.298e+01,1.876e+02,4.889e+02,7.395e+02
180.5,2.917e+01,1.300e+02,1.912e+02,3.504e+02
182.1,1.777e+01,1.012e+02,7.773e+01,1.967e+02
183.7,1.686e+01,9.463e+01,8.280e+01,1.943e+02
185.3,1.867e+01,9.822e+01,1.008e+02,2.176e+02
186.9,1.703e+01,1.068e+02,1.206e+02,2.444e+02
188.5,1.816e+01,1.149e+02,1.303e+02,2.634e+02
190.1,1.993e+01,1.206e+02,1.513e+02,2.917e+02
191.7,1.637e+01,1.245e+02,1.363e+02,2.771e+02
193.3,1.493e+01,1.066e+02,1.204e+02,2.419e+02
194.9,1.455e+01,9.577e+01,1.011e+02,2.114e+02
196.5,1.357e+01,1.091e+02,8.935e+01,2.120e+02
198.1,1.191e+01,1.071e+02,7.726e+01,1.963e+02
199.7,1.219e+01,9.962e+01,6.565e+01,1.775e+02
