freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.429e+02,1.094e+02,5.411e+02,8.935e+02
1.6,1.101e+03,5.848e+02,1.363e+03,3.049e+03
3.2,1.313e+03,7.424e+02,1.436e+03,3.491e+03
4.8,1.466e+03,7.193e+02,1.826e+03,4.012e+03
6.4,1.523e+03,6.917e+02,2.691e+03,4.906e+03
7.9,1.442e+03,6.733e+02,3.368e+03,5.484e+03
9.5,1.413e+03,6.516e+02,3.972e+03,6.036e+03
11.1,1.364e+03,6.825e+02,4.897e+03,6.944e+03
12.7,1.300e+03,6.731e+02,5.755e+03,7.728e+03
14.3,1.388e+03,7.209e+02,7.244e+03,9.353e+03
15.9,1.416e+03,9.503e+02,8.877e+03,1.124e+04
17.5,1.396e+03,8.590e+02,1.066e+04,1.292e+04
19.1,1.323e+03,6.926e+02,1.327e+04,1.528e+04
20.7,1.352e+03,7.528e+02,1.610e+04,1.820e+04
22.3,1.396e+03,8.480e+02,1.891e+04,2.115e+04
23.8,1.391e+03,9.345e+02,2.189e+04,2.422e+04
25.4,1.493e+03,1.013e+03,2.573e+04,2.824e+04
27.0,2.049e+03,1.130e+03,3.241e+04,3.559e+04
28.6,2.407e+03,1.562e+03,3.778e+04,4.175e+04
30.2,1.988e+03,1.812e+03,4.088e+04,4.469e+04
31.8,1.861e+03,1.257e+03,4.144e+04,4.455e+04
33.4,3.177e+03,1.044e+03,4.077e+04,4.500e+04
35.0,3.395e+03,1.073e+03,4.243e+04,4.690e+04
36.6,2.150e+03,1.028e+03,5.126e+04,5.443e+04
38.1,2.245e+03,1.149e+03,6.156e+04,6.496e+04
39.7,4.904e+03,1.473e+03,7.231e+04,7.868e+04
41.3,7.495e+03,1.499e+03,7.824e+04,8.724e+04
42.9,8.807e+03,1.132e+03,9.417e+04,1.041e+05
44.5,1.133e+04,1.178e+03,1.304e+05,1.429e+05
46.1,1.263e+04,1.722e+03,1.851e+05,1.994e+05
47.7,1.008e+04,2.393e+03,2.125e+05,2.250e+05
49.3,6.354e+03,3.120e+03,2.105e+05,2.200e+05
50.9,4.958e+03,3.504e+03,2.421e+05,2.505e+05
52.4,5.365e+03,4.172e+03,3.057e+05,3.152e+05
54.0,6.273e+03,5.637e+03,4.160e+05,4.280e+05
55.6,7.086e+03,6.430e+03,5.638e+05,5.773e+05
57.2,6.687e+03,5.784e+03,6.980e+05,7.105e+05
58.8,5.908e+03,5.073e+03,7.751e+05,7.861e+05
60.4,5.383e+03,5.579e+03,7.551e+05,7.661e+05
62.0,5.471e+03,7.484e+03,7.066e+05,7.195e+05
