freq,psd_x,psd_y,psd_z,psd_xyz
63.6,4.760e+03,1.031e+04,6.559e+05,6.710e+05
65.2,3.774e+03,1.246e+04,6.064e+05,6.227e+05
66.8,2.884e+03,1.334e+04,5.518e+05,5.680e+05
68.3,2.251e+03,1.287e+04,4.830e+05,4.981e+05
69.9,1.698e+03,1.229e+04,4.046e+05,4.186e+05
71.5,1.243e+03,1.105e+04,3.206e+05,3.329e+05
73.1,9.613e+02,9.270e+03,2.369e+05,2.472e+05
74.7,7.701e+02,7.783e+03,1.701e+05,1.787e+05
76.3,6.715e+02,6.719e+03,1.284e+05,1.358e+05
77.9,7.576e+02,5.845e+03,1.021e+05,1.087e+05
79.5,6.853e+02,5.625e+03,8.383e+04,9.014e+04
81.1,6.768e+02,5.494e+03,6.939e+04,7.556e+04
82.6,6.144e+02,5.275e+03,5.705e+04,6.294e+04
84.2,6.341e+02,5.133e+03,4.776e+04,5.353e+04
85.8,8.118e+02,4.934e+03,4.029e+04,4.603e+04
87.4,9.592e+02,4.885e+03,3.405e+04,3.989e+04
89.0,1.436e+03,4.730e+03,2.803e+04,3.420e+04
90.6,2.529e+03,4.352e+03,2.800e+04,3.488e+04
92.2,2.899e+03,4.140e+03,4.094e+04,4.798e+04
93.8,2.834e+03,5.873e+03,5.510e+04,6.381e+04
95.4,2.262e+03,7.355e+03,5.843e+04,6.805e+04
97.0,1.537e+03,7.187e+03,5.239e+04,6.112e+04
98.5,1.128e+03,6.955e+03,4.553e+04,5.361e+04
100.1,9.890e+02,6.849e+03,4.120e+04,4.904e+04
101.7,9.155e+02,6.731e+03,3.690e+04,4.455e+04
103.3,7.564e+02,6.585e+03,3.440e+04,4.174e+04
104.9,6.641e+02,6.686e+03,3.321e+04,4.056e+04
106.5,5.587e+02,6.547e+03,3.147e+04,3.857e+04
108.1,4.951e+02,6.314e+03,2.884e+04,3.565e+04
109.7,4.461e+02,6.416e+03,2.530e+04,3.216e+04
111.3,3.964e+02,6.140e+03,2.219e+04,2.873e+04
112.8,4.735e+02,6.194e+03,1.967e+04,2.634e+04
114.4,4.483e+02,6.242e+03,1.691e+04,2.360e+04
116.0,4.286e+02,5.983e+03,1.467e+04,2.109e+04
117.6,4.621e+02,5.230e+03,1.291e+04,1.860e+04
119.2,4.245e+02,5.018e+03,1.115e+04,1.659e+04
120.8,4.569e+02,4.638e+03,9.331e+03,1.443e+04
122.4,4.952e+02,4.223e+03,7.680e+03,1.240e+04
124.0,5.263e+02,4.471e+03,7.606e+03,1.260e+04
125.6,5.038e+02,4.521e+03,7.900e+03,1.292e+04
127.1,4.790e+02,4.489e+03,8.099e+03,1.307e+04
128.7,4.917e+02,4.690e+03,8.031e+03,1.321e+04
130.3,4.784e+02,4.935e+03,7.774e+03,1.319e+04
131.9,4.768e+02,4.847e+03,6.959e+03,1.228e+04
133.5,4.313e+02,2.933e+03,3.152e+03,6.517e+03
135.1,4.053e+02,1.644e+03,8.745e+02,2.924e+03
136.7,4.572e+02,1.764e+03,7.896e+02,3.010e+03
138.3,4.555e+02,1.642e+03,7.254e+02,2.822e+03
139.9,5.295e+02,1.490e+03,6.656e+02,2.685e+03
141.5,5.121e+02,1.312e+03,5.820e+02,2.406e+03
143.0,4.979e+02,1.287e+03,5.252e+02,2.310e+03
144.6,4.581e+02,1.183e+03,4.455e+02,2.087e+03
146.2,4.689e+02,1.179e+03,4.343e+02,2.082e+03
147.8,4.235e+02,1.083e+03,4.359e+02,1.943e+03
149.4,4.236e+02,1.033e+03,3.892e+02,1.845e+03
151.0,4.269e+02,1.183e+03,4.037e+02,2.014e+03
152.6,4.406e+02,1.205e+03,4.133e+02,2.059e+03
154.2,4.196e+02,9.311e+02,4.693e+02,1.820e+03
155.8,4.323e+02,8.960e+02,5.506e+02,1.879e+03
157.3,4.310e+02,9.102e+02,5.462e+02,1.887e+03
158.9,4.286e+02,1.021e+03,4.753e+02,1.925e+03
160.5,4.618e+02,1.032e+03,6.439e+02,2.138e+03
162.1,5.251e+02,9.932e+02,9.224e+02,2.441e+03
163.7,5.064e+02,1.078e+03,1.063e+03,2.648e+03
165.3,5.490e+02,1.369e+03,1.277e+03,3.195e+03
166.9,6.437e+02,1.480e+03,1.662e+03,3.786e+03
168.5,6.838e+02,1.375e+03,1.598e+03,3.657e+03
170.1,6.930e+02,1.151e+03,1.082e+03,2.926e+03
171.7,6.534e+02,9.282e+02,6.028e+02,2.184e+03
173.2,6.200e+02,9.032e+02,4.365e+02,1.960e+03
174.8,5.377e+02,1.070e+03,4.771e+02,2.085e+03
176.4,4.663e+02,1.393e+03,6.632e+02,2.523e+03
178.0,4.485e+02,2.068e+03,9.507e+02,3.467e+03
179.6,4.533e+02,2.868e+03,1.184e+03,4.506e+03
181.2,4.491e+02,3.175e+03,1.206e+03,4.830e+03
182.8,4.638e+02,3.100e+03,1.104e+03,4.668e+03
184.4,5.082e+02,3.055e+03,9.509e+02,4.514e+03
186.0,4.086e+02,2.682e+03,7.583e+02,3.849e+03
187.5,4.264e+02,2.060e+03,6.612e+02,3.147e+03
189.1,4.906e+02,1.746e+03,6.347e+02,2.871e+03
190.7,4.812e+02,1.666e+03,5.195e+02,2.666e+03
192.3,4.071e+02,1.370e+03,3.793e+02,2.157e+03
193.9,3.805e+02,1.193e+03,3.137e+02,1.887e+03
195.5,3.569e+02,1.003e+03,2.698e+02,1.630e+03
197.1,3.802e+02,8.232e+02,2.752e+02,1.479e+03
198.7,3.923e+02,7.162e+02,2.340e+02,1.342e+03
